id,name, facebook, twitter, website, genre, mtv
1739, Lindi Ortega ,http://www.facebook.com/16426965446,http://www.twitter.com/lindiortega,http://lindiortega.ca,Americana,http://www.cmt.com/artists/lindi-ortega/biography
1740, Lost Boyz ,,,,Hip-Hop/Rap,http://www.mtv.com/artists/lost-boyz/biography
1741, Lloyd Price ,,,,Classic Rock,http://www.mtv.com/artists/lloyd-price/biography
1742, Liza Minnelli ,http://www.facebook.com/182432504764,,http://www.officiallizaminnelli.com,Adult Contemporary,http://www.mtv.com/artists/liza-minnelli/biography
1743, Lloyd Bridges ,,,,,http://www.mtv.com/artists/lloyd-bridges/biography
1744, Little Green Men ,,,,,http://www.mtv.com/artists/little-green-men-00/biography
1745, Little Texas ,http://www.facebook.com/277076223344,http://www.twitter.com/littletexasband,http://www.littletexasonline.com/,Country,http://www.cmt.com/artists/little-texas/biography
1746, Los Lobos ,http://www.facebook.com/29370178673,http://www.twitter.com/loslobosband,,Rock,http://www.mtv.com/artists/los-lobos/biography
1747, Los Bukis ,,,,Latin,http://www.mtv.com/artists/los-bukis/biography
1748, M83 ,http://www.facebook.com/19342919816,http://www.twitter.com/m83news,http://ilovem83.com,Alternative,http://www.mtv.com/artists/m83/biography
1749, Louise Mandrell ,,,,Country,http://www.cmt.com/artists/louise-mandrell/biography
1750, Lucie Silvas ,http://www.facebook.com/LucieSilvasMusic,https://twitter.com/LucieSilvas,http://www.luciesilvas.com,Singer/Songwriter,http://www.mtv.com/artists/lucie-silvas/biography
1751, Luka Van Den Driesschen ,,,http://www.lukavandendriesschen.com,Lounge,http://www.mtv.com/artists/luka-van-den-driesschen/biography
1752, Luxxe ,,,,,http://www.mtv.com/artists/luxxe/biography
1753, Manowar ,http://www.facebook.com/120910203516,http://www.twitter.com/manowar,,Metal,http://www.mtv.com/artists/manowar/biography
1754, Michael Martin Murphey ,http://www.facebook.com/116708905009892,http://www.twitter.com/rocking3m,,Country,http://www.cmt.com/artists/michael-martin-murphey/biography
1755, Michael McDonald ,http://www.facebook.com/6701089971,http://www.twitter.com/mike___mcdonald,http://michaelmcdonald.com/,Soul,http://www.mtv.com/artists/michael-mcdonald/biography
1756, Michael Moore ,,,,Jazz,http://www.mtv.com/artists/michael-moore-00/biography
1757, Marie Osmond ,,,,Country,http://www.cmt.com/artists/marie-osmond/biography
1758, Maren Morris ,,,,,http://www.cmt.com/artists/maren-morris/biography
1759, Maria Mena ,http://www.facebook.com/208985152469253,http://www.twitter.com/mariamena_no,,Rock,http://www.mtv.com/artists/maria-mena/biography
1760, Marina and The Diamonds ,http://www.facebook.com/7839826754,http://www.twitter.com/marinasdiamonds,http://www.marinaandthediamonds.com/,Indie Rock,http://www.mtv.com/artists/marina-and-the-diamonds/biography
1761, Marty Brown ,http://www.facebook.com/233476546674366,http://twitter.com/martybrownusa,http://www.martybrownmusic.com,Traditional Country,http://www.cmt.com/artists/marty-brown/biography
1762, Mazzy Star ,http://www.facebook.com/480887555330981,http://www.twitter.com/mazzystar,,Alternative,http://www.mtv.com/artists/mazzy-star/biography
1763, MC Hammer ,,,,,http://www.mtv.com/artists/mc-hammer/biography
1764, Matt and Kim ,http://www.facebook.com/7687097690,http://www.twitter.com/mattandkim,http://mattandkimmusic.com,Rock,http://www.mtv.com/artists/matt-kim/biography
1765, Maze ,,,,Movies,http://www.mtv.com/artists/maze/biography
1766, Merle Travis ,,,http://www.countrymusichalloffame.com/inductees/merle_travis.html,Country,http://www.cmt.com/artists/merle-travis/biography
1767, Metro Station ,http://www.facebook.com/5782928190,http://www.twitter.com/metrostation,http://www.metrostationmusic.com,Alternative,http://www.mtv.com/artists/metro-station/biography
1768, Michael Scott ,,,,,http://www.cmt.com/artists/michael-scott-4/biography
1769, Of Mice & Men ,http://www.facebook.com/270219228823,http://www.twitter.com/omandm,http://ofmiceandmenofficial.com/,Metal,http://www.mtv.com/artists/of-mice-men/biography
1770, Of Monsters and Men ,http://www.facebook.com/367200746330,http://www.twitter.com/monstersandmen,http://ofmonstersandmen.com,Alternative,http://www.mtv.com/artists/of-monsters-and-men/biography
1771, Mighty Spoiler ,,,,,http://www.mtv.com/artists/mighty-spoiler/biography
1772, Midnight Oil ,http://www.facebook.com/134417716627187,http://www.twitter.com/_theoils,,Rock,http://www.mtv.com/artists/midnight-oil/biography
1773, Midnight Red ,http://www.facebook.com/108483099224897,http://www.twitter.com/itsmidnightred,http://www.midnightred.com,Teen Pop,http://www.mtv.com/artists/midnight-red/biography
1774, Milano ,,,,Hip-Hop,http://www.mtv.com/artists/milano/biography
1775, Modestep ,http://www.facebook.com/174002005811,http://www.twitter.com/modestep,,Dance,http://www.mtv.com/artists/modestep/biography
1776, Molly Hatchet ,http://www.facebook.com/111854902161059,http://www.twitter.com/mollyhatchet,,Classic Rock,http://www.mtv.com/artists/molly-hatchet/biography
1777, Mudvayne ,http://www.facebook.com/14054750116,http://www.twitter.com/mudvayne,http://www.mudvayne.com/,Rock,http://www.mtv.com/artists/mudvayne/biography
1778, Nelson ,http://www.facebook.com/52382795052,http://www.twitter.com/nelsonrockband,,VH1 O Music Awards,http://www.mtv.com/artists/nelson/biography
1779, NEEDTOBREATHE ,http://www.facebook.com/8292469812,http://www.twitter.com/needtobreathe,http://www.needtobreathe.net,Alternative,http://www.mtv.com/artists/needtobreathe/biography
1780, Natas (Rap) ,,,,Hip-Hop,http://www.mtv.com/artists/natas-rap-/biography
1781, Neil Young ,http://www.facebook.com/21931600316,http://www.twitter.com/neilyoung,http://www.neilyoung.com/,Alternative,http://www.mtv.com/artists/neil-young/biography
1782, Nana Mouskouri ,,,,World/Reggae,http://www.mtv.com/artists/nana-mouskouri/biography
1783, Naughty Boy ,http://www.facebook.com/125968077484290,http://www.twitter.com/naughtyboymusic,http://www.hotel-cabana.com,Pop,http://www.mtv.com/artists/naughty-boy/biography
1784, Naughty by Nature ,http://www.facebook.com/100578178271,http://www.twitter.com/naughtybynature,http://naughtygear.com/indexa.htm,Hip-Hop/Rap,http://www.mtv.com/artists/naughty-by-nature/biography
1785, New Politics ,http://www.facebook.com/170246145677,http://www.twitter.com/newpolitics,http://newpoliticsrock.com/,Alternative,http://www.mtv.com/artists/new-politics/biography
1786, New Riders of the Purple Sage ,http://www.facebook.com/76955271891,,http://thenewriders.com/,Country,http://www.cmt.com/artists/new-riders-of-the-purple-sage/biography
1787, Next 2 The Tracks ,http://www.facebook.com/next2thetracks,http://www.twitter.com/next2thetracks,http://www.next2thetracks.com,Outlaw Country,http://www.cmt.com/artists/next-2-the-tracks-2/biography
1788, Nick Cannon ,http://www.facebook.com/173383392679386,http://www.twitter.com/nickcannon,,Hip-Hop/Rap,http://www.mtv.com/artists/nick-cannon/biography
1789, Nonoy Zuniga ,,,,,http://www.mtv.com/artists/nonoy-zuniga/biography
1790, Nine (Rap) ,,,,Hip-Hop,http://www.mtv.com/artists/nine-rap-/biography
1791, Norman Lee Schaffer ,,,,,http://www.cmt.com/artists/norman-lee-schaffer/biography
1792, Olivia ,,,,Hip-Hop/Rap,http://www.mtv.com/artists/olivia/biography
1793, Paolo Nutini ,http://www.facebook.com/6513804564,http://www.twitter.com/paolonutini,http://www.paolonutini.com/,Pop,http://www.mtv.com/artists/paolo-nutini/biography
1794, Pastor Renita Allen-Dixon ,,,,,http://www.mtv.com/artists/pastor-renita-allen-dixon/biography
1795, Patty Griffin ,http://www.facebook.com/19929039096,http://www.twitter.com/pattygmusic,http://www.pattygriffin.com/,Singer/Songwriter,http://www.mtv.com/artists/patty-griffin/biography
1796, Paul Overstreet ,,,http://www.pauloverstreet.com/,Country,http://www.cmt.com/artists/paul-overstreet/biography
1797, Pitingo ,http://www.facebook.com/118257194858694,http://www.twitter.com/pitingo,,Blues/Folk,http://www.mtv.com/artists/pitingo/biography
1798, Plain White T's ,http://www.facebook.com/6110600892,http://www.twitter.com/plainwhitets,,Rock,http://www.mtv.com/artists/plain-white-ts/biography
1799, Pepper ,http://www.facebook.com/7757807493,http://www.twitter.com/pepperlive,,Rock,http://www.mtv.com/artists/pepper/biography
1800, Peter Gabriel ,http://www.facebook.com/292910949759,http://www.twitter.com/itspetergabriel,,Rock,http://www.mtv.com/artists/peter-gabriel/biography
1801, PM Dawn ,,,,,http://www.mtv.com/artists/pm-dawn-01/biography
1802, Ramón Ayala ,,,,World/International,http://www.mtv.com/artists/ramon-ayala/biography
1803, Public Enemy ,http://www.facebook.com/205188069505931,http://www.twitter.com/publicenemyftp,http://www.publicenemy.com/,Hip-Hop/Rap,http://www.mtv.com/artists/public-enemy/biography
1804, Randy Clark ,,,,,http://www.cmt.com/artists/randy-clark/biography
1805, Ray Wylie Hubbard ,http://www.facebook.com/143071913716,http://www.twitter.com/raywylie,,Country,http://www.cmt.com/artists/ray-wylie-hubbard/biography
1806, Razakel ,,,,,http://www.mtv.com/artists/razakel/biography
1807, R.E.L. ,,,,,http://www.mtv.com/artists/rel/biography
1808, Reuben Welch ,,,,,http://www.mtv.com/artists/reuben-welch/biography
1809, Rich the Factor ,,,,,http://www.mtv.com/artists/rich-the-factor/biography
1810, Right Said Fred ,http://www.facebook.com/44994827753,http://www.twitter.com/rfairbrass,,Disco,http://www.mtv.com/artists/right-said-fred/biography
1811, Riff Raff ,http://www.facebook.com/RiffRaffMadDecent,http://www.twitter.com/JODYHiGHROLLER,,Hip-Hop,http://www.mtv.com/artists/riff-raff/biography
1812, Robert Earl Keen ,http://www.facebook.com/robertearlkeen,,http://www.robertearlkeen.com/,Blues/Folk,http://www.cmt.com/artists/robert-earl-keen/biography
1813, Robyn ,http://www.facebook.com/6084842529,http://www.twitter.com/robynkonichiwa,http://robyn.com,Pop,http://www.mtv.com/artists/robyn/biography
1814, Rochelle Macarthur ,,,,,http://www.cmt.com/artists/rochelle-macarthur-2/biography
1815, Rocío Dúrcal ,http://www.facebook.com/52198095917,http://www.twitter.com/rocio_durcal,,Latin,http://www.mtv.com/artists/rocio-durcal/biography
1816, Samuel Christian ,http://www.facebook.com/233726433343874,http://www.twitter.com/http://shop.iamsamuelchristian.com/products/EVOLUTION.html,http://iamsamuelchristian.com/,World,http://www.mtv.com/artists/samuel-christian/biography
1817, Run C & W ,,,,Country,http://www.cmt.com/artists/run-c-w/biography
1818, Roy D. Mercer ,http://www.facebook.com/31993117890,http://www.twitter.com/roymercer,http://www.roydmercer.com/,Country,http://www.cmt.com/artists/roy-d-mercer/biography
1819, Ronnie McDowell ,,,http://www.ronniemcdowell.com,Country,http://www.cmt.com/artists/ronnie-mcdowell/biography
1820, Rush ,http://www.facebook.com/53385812061,http://www.twitter.com/rushtheband,http://www.rush.com/v4.html,Alternative,http://www.mtv.com/artists/rush/biography
1821, Sammy Hagar ,http://www.facebook.com/103868312982986,http://www.twitter.com/sammyhagar,,Rock,http://www.mtv.com/artists/sammy-hagar/biography
1822, Saint Motel ,http://www.facebook.com/saintmotel,http://twitter.com/saintmotel,http://www.saintmotel.com,Indie Rock,http://www.mtv.com/artists/saint-motel/biography
1823, Ryan Nissley & New Hope Worship ,,,,,http://www.mtv.com/artists/ryan-nissley-new-hope-worship/biography
1824, Sandi Patty ,,,,Inspirational,http://www.mtv.com/artists/sandi-patty/biography
